cod_ocorrencia	roubo_rua
1	66
2	51
3	64
4	56
5	5
6	44
7	53
8	47
9	34
10	42
11	20
12	48
13	64
14	71
15	51
16	42
17	123
18	58
19	77
20	46
21	44
22	0
23	52
24	49
25	89
26	67
27	1
28	53
29	56
30	77
31	105
32	34
33	48
34	22
35	79
36	35
37	26
38	39
39	2
40	11
41	0
42	50
43	17
44	17
45	13
46	13
47	29
48	17
49	134
50	34
51	4
52	18
53	51
54	5
55	12
56	41
57	50
58	25
59	69
60	16
61	85
62	43
63	55
64	3
65	13
66	4
67	1
68	13
69	11
70	2
71	0
72	21
73	1
74	1
75	0
76	1
77	0
78	3
79	3
80	0
81	12
82	2
83	0
84	2
85	0
86	6
87	2
88	0
89	6
90	3
91	0
92	1
93	0
94	13
95	5
96	8
97	59
98	8
99	9
100	1
101	43
102	2
103	0
104	0
105	0
106	0
107	0
108	0
109	1
110	3
111	0
112	0
113	8
114	14
115	1
116	0
117	0
118	0
119	0
120	0
121	1
122	1
123	2
124	9
125	2
126	1
127	99
128	72
129	77
130	58
131	2
132	53
133	67
134	47
135	28
136	52
137	11
138	52
139	57
140	76
141	58
142	59
143	118
144	70
145	67
146	33
147	30
148	0
149	49
150	45
151	102
152	61
153	3
154	50
155	48
156	79
157	83
158	50
159	68
160	48
161	88
162	48
163	39
164	27
165	6
166	13
167	4
168	39
169	31
170	22
171	12
172	19
173	40
174	24
175	162
176	39
177	1
178	8
179	50
180	7
181	10
182	25
183	46
184	25
185	83
186	12
187	90
188	60
189	41
190	13
191	9
192	4
193	2
194	19
195	11
196	1
197	0
198	22
199	1
200	1
201	0
202	1
203	0
204	1
205	2
206	0
207	13
208	2
209	0
210	8
211	1
212	3
213	0
214	0
215	4
216	5
217	0
218	0
219	0
220	19
221	2
222	4
223	16
224	5
225	1
226	0
227	34
228	0
229	0
230	0
231	1
232	0
233	0
234	0
235	0
236	3
237	1
238	3
239	16
240	7
241	0
242	0
243	0
244	0
245	0
246	0
247	0
248	1
249	1
250	5
251	0
252	1
253	54
254	83
255	56
256	41
257	7
258	31
259	48
260	30
261	26
262	43
263	11
264	55
265	41
266	57
267	74
268	46
269	94
270	54
271	87
272	40
273	46
274	0
275	50
276	41
277	108
278	52
279	1
280	42
281	70
282	115
283	91
284	48
285	51
286	40
287	105
288	47
289	40
290	34
291	1
292	7
293	2
294	57
295	33
296	28
297	16
298	21
299	37
300	28
301	123
302	29
303	3
304	14
305	45
306	14
307	7
308	39
309	56
310	35
311	84
312	14
313	106
314	47
315	45
316	16
317	10
318	6
319	3
320	16
321	12
322	0
323	0
324	20
325	0
326	1
327	0
328	1
329	1
330	3
331	2
332	1
333	19
334	6
335	0
336	15
337	0
338	6
339	0
340	0
341	5
342	6
343	1
344	0
345	1
346	12
347	8
348	4
349	51
350	6
351	8
352	1
353	57
354	0
355	0
356	0
357	0
358	0
359	0
360	1
361	0
362	6
363	0
364	4
365	19
366	9
367	0
368	0
369	0
370	0
371	0
372	0
373	0
374	1
375	1
376	10
377	2
378	1
379	78
380	55
381	59
382	39
383	2
384	65
385	63
386	40
387	22
388	35
389	24
390	42
391	43
392	68
393	51
394	50
395	86
396	56
397	91
398	46
399	39
400	0
401	65
402	35
403	104
404	71
405	2
406	66
407	41
408	110
409	117
410	40
411	50
412	64
413	91
414	55
415	31
416	0
417	31
418	4
419	3
420	1
421	60
422	30
423	28
424	12
425	20
426	41
427	12
428	144
429	25
430	4
431	7
432	59
433	8
434	7
435	28
436	62
437	20
438	64
439	14
440	91
441	51
442	27
443	10
444	7
445	17
446	1
447	16
448	7
449	0
450	0
451	36
452	1
453	0
454	1
455	0
456	1
457	1
458	2
459	0
460	12
461	1
462	2
463	7
464	0
465	2
466	0
467	0
468	4
469	2
470	0
471	0
472	0
473	28
474	3
475	5
476	25
477	7
478	1
479	1
480	69
481	0
482	0
483	1
484	0
485	0
486	0
487	1
488	0
489	1
490	1
491	0
492	15
493	7
494	0
495	0
496	1
497	0
498	0
499	0
500	0
501	1
502	1
503	10
504	3
505	0
506	68
507	49
508	79
509	55
510	7
511	59
512	59
513	36
514	22
515	43
516	22
517	55
518	51
519	55
520	47
521	57
522	106
523	72
524	104
525	53
526	44
527	0
528	68
529	56
530	103
531	65
532	4
533	58
534	64
535	113
536	113
537	33
538	63
539	54
540	83
541	38
542	28
543	0
544	45
545	3
546	6
547	0
548	47
549	41
550	32
551	6
552	30
553	34
554	19
555	134
556	33
557	0
558	12
559	47
560	7
561	7
562	36
563	50
564	23
565	77
566	22
567	87
568	50
569	29
570	20
571	7
572	10
573	1
574	18
575	12
576	0
577	1
578	32
579	0
580	1
581	1
582	0
583	0
584	2
585	3
586	0
587	10
588	1
589	2
590	12
591	0
592	6
593	0
594	0
595	5
596	5
597	0
598	1
599	0
600	24
601	3
602	8
603	32
604	2
605	6
606	0
607	57
608	0
609	1
610	0
611	1
612	1
613	0
614	0
615	0
616	4
617	0
618	2
619	14
620	13
621	0
622	0
623	0
624	0
625	0
626	0
627	0
628	2
629	2
630	7
631	1
632	0
633	57
634	51
635	68
636	51
637	7
638	43
639	44
640	16
641	29
642	34
643	18
644	41
645	52
646	54
647	53
648	44
649	114
650	64
651	78
652	48
653	42
654	0
655	52
656	43
657	91
658	67
659	2
660	59
661	42
662	80
663	73
664	37
665	68
666	56
667	73
668	47
669	35
670	0
671	41
672	6
673	10
674	0
675	57
676	26
677	34
678	8
679	19
680	29
681	16
682	136
683	34
684	1
685	8
686	49
687	6
688	10
689	48
690	42
691	8
692	66
693	13
694	85
695	44
696	39
697	16
698	14
699	9
700	4
701	18
702	6
703	1
704	0
705	16
706	0
707	0
708	0
709	1
710	0
711	3
712	0
713	0
714	9
715	1
716	0
717	5
718	0
719	7
720	0
721	0
722	3
723	3
724	1
725	1
726	1
727	24
728	1
729	6
730	19
731	3
732	1
733	0
734	48
735	0
736	0
737	0
738	0
739	0
740	0
741	0
742	0
743	4
744	0
745	0
746	12
747	4
748	0
749	0
750	0
751	0
752	0
753	0
754	1
755	1
756	5
757	10
758	3
759	0
760	58
761	60
762	74
763	36
764	2
765	49
766	37
767	28
768	27
769	54
770	9
771	30
772	54
773	46
774	53
775	49
776	84
777	47
778	97
779	34
780	43
781	0
782	52
783	55
784	99
785	62
786	2
787	33
788	36
789	64
790	79
791	43
792	78
793	38
794	84
795	57
796	38
797	0
798	52
799	3
800	9
801	3
802	48
803	17
804	26
805	7
806	18
807	46
808	15
809	99
810	38
811	2
812	16
813	66
814	9
815	6
816	20
817	33
818	17
819	64
820	7
821	76
822	51
823	37
824	19
825	12
826	7
827	4
828	18
829	6
830	1
831	0
832	20
833	3
834	0
835	1
836	0
837	0
838	4
839	0
840	0
841	11
842	0
843	0
844	2
845	0
846	7
847	0
848	2
849	4
850	6
851	0
852	1
853	1
854	13
855	2
856	6
857	20
858	0
859	3
860	0
861	53
862	0
863	1
864	0
865	0
866	0
867	0
868	0
869	0
870	3
871	2
872	0
873	10
874	8
875	1
876	1
877	0
878	0
879	0
880	0
881	0
882	2
883	0
884	9
885	0
886	0
887	61
888	57
889	82
890	57
891	1
892	44
893	46
894	19
895	17
896	36
897	10
898	41
899	50
900	64
901	50
902	58
903	79
904	70
905	115
906	38
907	36
908	0
909	50
910	34
911	76
912	57
913	4
914	48
915	47
916	74
917	87
918	28
919	84
920	51
921	91
922	49
923	25
924	0
925	23
926	1
927	2
928	1
929	43
930	27
931	30
932	6
933	23
934	45
935	17
936	132
937	31
938	3
939	23
940	59
941	3
942	6
943	24
944	34
945	11
946	79
947	12
948	71
949	43
950	37
951	18
952	17
953	6
954	4
955	18
956	8
957	1
958	0
959	10
960	0
961	0
962	0
963	0
964	0
965	3
966	0
967	1
968	14
969	2
970	1
971	8
972	0
973	3
974	0
975	0
976	4
977	5
978	0
979	0
980	1
981	17
982	3
983	2
984	39
985	3
986	3
987	1
988	33
989	1
990	0
991	0
992	0
993	0
994	0
995	0
996	0
997	0
998	0
999	0
1000	8
1001	0
1002	14
1003	0
1004	0
1005	0
1006	0
1007	0
1008	0
1009	0
1010	1
1011	0
1012	7
1013	2
1014	0
1015	46
1016	46
1017	74
1018	50
1019	5
1020	62
1021	39
1022	24
1023	23
1024	48
1025	22
1026	48
1027	58
1028	47
1029	58
1030	68
1031	88
1032	65
1033	113
1034	61
1035	46
1036	0
1037	48
1038	37
1039	98
1040	60
1041	8
1042	37
1043	41
1044	80
1045	98
1046	38
1047	62
1048	51
1049	102
1050	43
1051	36
1052	0
1053	47
1054	3
1055	10
1056	0
1057	71
1058	14
1059	33
1060	12
1061	17
1062	50
1063	16
1064	121
